,0
533,5
534,0
535,1
536,0
537,3
538,0
539,1
540,0
541,2
542,0
543,0
544,2
545,4
546,0
547,2
548,0
549,0
550,6
551,5
552,0
553,0
554,6
555,0
556,1
557,6
558,0
559,0
560,2
561,1
562,2
563,6
564,2
565,0
566,0
567,6
568,0
569,4
570,3
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,3
580,5
581,1
582,0
583,5
584,0
585,1
586,0
587,1
588,0
589,0
590,0
591,2
592,1
593,0
594,0
595,0
596,2
597,6
598,0
599,0
600,0
601,6
602,6
603,4
604,0
605,0
606,6
607,6
608,0
609,2
610,0
611,4
612,0
613,6
614,6
615,4
616,6
617,5
618,0
619,0
620,6
621,5
622,0
623,4
624,0
625,5
626,1
627,0
628,1
629,5
630,2
631,0
632,0
633,0
634,0
635,0
636,4
637,0
638,0
639,1
640,4
641,2
642,0
643,0
644,0
645,0
646,0
647,0
648,3
649,0
650,0
651,3
652,3
653,2
654,4
655,0
656,0
657,0
658,0
659,1
660,6
661,0
662,6
663,1
664,6
665,0
666,1
667,1
668,0
669,0
670,0
671,1
672,1
673,4
674,0
675,0
676,2
677,1
678,0
679,0
680,0
681,6
682,5
683,0
684,3
685,0
686,1
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,4
695,0
696,0
697,0
698,1
699,0
700,4
701,4
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,1
712,1
713,4
714,0
715,0
716,0
717,0
718,0
719,4
720,0
721,0
722,0
723,0
724,0
725,3
726,0
727,0
728,2
729,4
730,0
731,0
732,0
733,0
734,2
735,0
736,1
737,4
738,0
739,0
740,4
741,0
742,0
743,0
744,0
745,5
746,4
747,0
748,0
749,0
750,1
751,5
752,0
753,0
754,1
755,0
756,0
757,0
758,6
759,0
760,0
761,0
762,3
763,0
764,0
765,1
766,0
767,0
768,4
769,0
770,4
771,0
772,0
773,1
774,4
775,4
776,1
777,0
778,3
779,0
780,0
781,1
782,0
783,0
784,4
785,0
786,2
787,4
788,0
789,0
790,0
791,0
792,0
793,0
794,6
795,0
796,0
797,1
798,0
799,0
800,0
801,3
802,6
803,1
804,0
805,0
806,0
807,0
808,0
809,2
810,0
811,0
812,0
813,0
814,0
815,5
816,0
817,1
818,0
819,0
820,0
821,0
822,3
823,5
824,5
825,0
826,6
827,0
828,0
829,0
830,0
831,4
832,3
833,4
834,0
835,0
836,0
837,2
838,0
839,1
840,0
841,6
842,0
843,0
844,0
845,5
846,0
847,1
848,0
849,0
850,0
851,1
852,0
853,1
854,0
855,0
856,4
857,3
858,2
859,0
860,1
861,0
862,0
863,0
864,1
865,0
866,0
867,1
868,0
869,1
870,0
871,0
872,5
873,4
874,4
875,3
876,0
877,0
878,6
879,0
880,0
881,0
882,2
883,0
884,1
885,0
886,1
887,0
888,0
889,0
890,3
891,0
892,1
893,0
894,6
895,0
896,0
897,0
898,0
899,0
900,0
901,3
902,0
903,0
904,6
905,0
906,2
907,0
908,0
909,0
910,0
911,0
912,5
913,1
914,0
915,4
916,0
917,0
918,0
919,6
920,0
921,0
922,2
923,3
924,2
925,3
926,0
927,4
928,3
929,0
930,5
931,0
932,0
933,0
934,0
935,0
936,1
937,0
938,0
939,0
940,1
941,0
942,0
943,0
944,0
945,1
946,0
947,0
948,0
949,0
950,0
951,6
952,0
953,6
954,0
955,1
956,0
957,0
958,0
959,0
960,0
961,2
962,0
963,0
964,6
965,5
966,0
967,1
968,0
969,0
970,0
971,0
972,4
973,0
974,0
975,0
976,3
977,2
978,0
979,0
980,1
981,2
982,4
983,5
984,0
985,0
986,0
987,0
988,1
989,2
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,1
999,6
1000,0
1001,0
1002,0
1003,0
1004,0
1005,4
1006,2
1007,0
1008,0
1009,0
1010,5
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,1
